Row ID,Postal Code,Sales
1.0,42420.0,261.96
2.0,42420.0,731.94
3.0,90036.0,14.62
4.0,33311.0,957.5775
5.0,33311.0,22.368
6.0,90032.0,48.86
7.0,90032.0,7.28
8.0,90032.0,907.152
9.0,90032.0,18.504
10.0,90032.0,114.9
11.0,90032.0,1706.184
12.0,90032.0,911.424
13.0,28027.0,15.552
14.0,98103.0,407.976
15.0,76106.0,68.81
16.0,76106.0,2.544
17.0,53711.0,665.88
18.0,84084.0,55.5
19.0,94109.0,8.56
20.0,94109.0,213.48
21.0,94109.0,22.72
22.0,68025.0,19.46
23.0,68025.0,60.34
24.0,19140.0,71.372
25.0,84057.0,1044.63
26.0,90049.0,11.648
27.0,90049.0,90.57
28.0,19140.0,3083.43
29.0,19140.0,9.618
30.0,19140.0,124.2
31.0,19140.0,3.264
32.0,19140.0,86.304
33.0,19140.0,6.858
34.0,19140.0,15.76
35.0,77095.0,29.472
36.0,75080.0,1097.544
37.0,75080.0,190.92
38.0,77041.0,113.328
39.0,77041.0,532.3992
40.0,77041.0,212.058
41.0,77041.0,371.168
42.0,60540.0,147.168
43.0,90049.0,77.88
44.0,32935.0,95.616
45.0,55122.0,45.98
46.0,55122.0,17.46
47.0,48185.0,211.96
48.0,19901.0,45.0
49.0,19901.0,21.8
50.0,47150.0,38.22
51.0,47150.0,75.18
52.0,47150.0,6.16
53.0,47150.0,89.99
54.0,10024.0,15.26
55.0,10024.0,1029.95
56.0,12180.0,208.56
57.0,12180.0,32.4
58.0,12180.0,319.41
59.0,12180.0,14.56
60.0,12180.0,30.0
61.0,12180.0,48.48
62.0,12180.0,1.68
63.0,90004.0,13.98
64.0,90004.0,25.824
65.0,90004.0,146.73
66.0,90004.0,79.76
67.0,60610.0,213.115
68.0,85234.0,1113.024
69.0,85234.0,167.968
70.0,22153.0,75.88
71.0,10009.0,4.616
72.0,49201.0,19.05
73.0,38109.0,831.936
74.0,38109.0,97.04
75.0,38109.0,72.784
76.0,77041.0,1.248
77.0,77041.0,9.708
78.0,77041.0,27.24
79.0,77070.0,19.3
80.0,35601.0,208.16
81.0,35601.0,16.74
82.0,94122.0,14.9
83.0,94122.0,21.39
84.0,27707.0,200.984
85.0,60623.0,230.376
86.0,29203.0,301.96
87.0,55901.0,19.99
88.0,55901.0,6.16
89.0,77095.0,158.368
90.0,90036.0,20.1
91.0,90036.0,73.584
92.0,90036.0,6.48
93.0,55407.0,12.96
94.0,55407.0,53.34
95.0,55407.0,32.96
96.0,97206.0,5.682
97.0,10009.0,96.53
98.0,94122.0,51.312
99.0,55106.0,77.88
